	Unnamed: 0	study	output_type	pk	access	tissue	interventions	raw_pk	measurement_type	allowed_users	substance	unit	calculated	individual_pk	individual_name	value	group_count	group_name	group_pk	mean	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	max	min	median	choice	measurement_type_intervention	access_intervention	allowed_users_intervention	raw_pk_intervention	substance_intervention	route	unit_intervention	value_intervention	application	time_intervention	time_unit_intervention	form	choice_intervention	sd_intervention	max_intervention	min_intervention	subject_type	subject_pk	('study', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('sex', 'choice')	('sex', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('age', 'median')	('general', 'group_pk')	('general', 'group_count')	('general', 'parent_pk')	('medication', 'choice')	('medication', 'count')	('medication', 'substance')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('smoking', 'choice')	('smoking', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('bmi', 'value')	('bmi', 'median')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('fasting (duration)', 'count')	('fasting (duration)', 'mean')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('height', 'value')	('cyp2d6 genotype', 'choice')	('cyp2d6 genotype', 'count')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('disease', 'choice')	('disease', 'count')	('disease', 'unit')	('disease', 'value')	('disease', 'mean')	('disease', 'sd')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('concentration', 'mean')	('concentration', 'sd')	('cyp2d6 phenotype', 'choice')	('cyp2d6 phenotype', 'count')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('alcohol', 'choice')	('alcohol', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('clearance', 'mean')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'unit')	('kidney function test', 'choice')	('kidney function test', 'count')	('fasting', 'choice')	('fasting', 'count')	('body position', 'choice')	('body position', 'count')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')	('alcohol amount', 'count')	('alcohol amount', 'max')	('alcohol amount', 'mean')	('alcohol amount', 'min')	('alcohol amount', 'unit')	('hba1c', 'count')	('hba1c', 'mean')	('hba1c', 'sd')	('hba1c', 'unit')	('abstinence smoking', 'count')	('abstinence smoking', 'min')	('abstinence smoking', 'unit')	('cyp2d6 variant', 'choice')	('cyp2d6 variant', 'count')	('consumption', 'count')	('consumption', 'mean')	('consumption', 'sd')	('consumption', 'substance')	('consumption', 'unit')	('circadian status', 'choice')	('circadian status', 'count')	('abstinence oral contraceptives', 'count')	('abstinence oral contraceptives', 'min')	('abstinence oral contraceptives', 'unit')	inferred
0	5111	Volak2013	timecourses	2918	public	plasma	1506	2912	concentration	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	paracetamol sulfate	gram / liter				nan	8.0	all	655.0	"[4.53e-05 7.07e-04 1.54e-03 2.23e-03 2.34e-03 2.20e-03 1.98e-03 1.68e-03
 1.01e-03 6.45e-04 4.80e-04]"		hr	['0.00e+00', '4.54e-01', '9.98e-01', '1.52e+00', '2.01e+00', '2.47e+00', '2.99e+00', '3.99e+00', '5.97e+00', '8.00e+00', '1.00e+01']	"[     nan 5.77e-05 1.03e-04 1.25e-04 1.44e-04 1.67e-04 1.31e-04 1.35e-04
 8.33e-05 4.81e-05 3.52e-05]"	[  nan 0.231 0.188 0.159 0.175 0.214 0.187 0.226 0.233 0.211 0.208]	"[     nan 1.63e-04 2.90e-04 3.53e-04 4.08e-04 4.71e-04 3.72e-04 3.81e-04
 2.36e-04 1.36e-04 9.97e-05]"	[{'pk': 48252}, {'pk': 48251}, {'pk': 48250}, {'pk': 48249}, {'pk': 48248}, {'pk': 48247}, {'pk': 48246}, {'pk': 48245}, {'pk': 48244}, {'pk': 48243}, {'pk': 48242}, {'pk': 48241}, {'pk': 48240}, {'pk': 48239}, {'pk': 48238}, {'pk': 48237}]	/media/data/Volak2013_Fig3.png			nan		dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	1505	paracetamol	oral	gram	0.325	single dose	0.0	hr	tablet					group	655	Volak2013	all	homo sapiens	8.0	('F', 'M')	(1, 7)	Y	8.0	8.0	52.0		24.0			yr				8.0	None				8.0	93.0			61.0			kilogram				('arab american', 'african american', 'caucasian')	(1, 1, 7)	('Y', 'N')	(1, 7)	8.0	7.0	day											8.0	7.0	day	(8, 8, 8, 8)	('7.00e+00', '7.00e+00', '7.00e+00', '7.00e+00')	('cabbage', 'brussel sprouts', 'caffeine', 'grapefruit juice')	('day', 'day', 'day', 'day')																																																																																																										False
1	5748	Chan1997	timecourses	1896	public	plasma	976	1880	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	11.0	moderate renal impairment	435.0	"[1.26e-04 5.27e-03 8.94e-03 1.04e-02 1.10e-02 1.09e-02 9.97e-03 8.44e-03
 7.85e-03 6.64e-03 6.16e-03 9.59e-04 5.68e-05]"		hr	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '2.40e+01', '4.80e+01']	"[     nan 0.00042  0.000945 0.000997 0.0011   0.0011   0.00147  0.000946
 0.000997 0.00084  0.000788 0.000315 0.000471]"	"[   nan  0.265  0.351  0.32   0.333  0.335  0.489  0.372  0.421  0.419
  0.424  1.09  27.5  ]"	nan	[{'pk': 34376}, {'pk': 34375}, {'pk': 34374}, {'pk': 34373}, {'pk': 34372}, {'pk': 34371}, {'pk': 34370}, {'pk': 34369}, {'pk': 34368}, {'pk': 34367}, {'pk': 34366}, {'pk': 34365}, {'pk': 34364}, {'pk': 34363}, {'pk': 34362}, {'pk': 34361}]	/media/data/Chan1997_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	975	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	435	Chan1997	moderate renal impairment	homo sapiens	38.0	('F', 'M')	(18, 20)	N	38.0	38.0	75.0	58.0	34.0	11.0		yr				11.0	432.0													Y	38																																																('renal disease (moderate)', 't2dm')	(11, 38)	(None, 'year')		(None, '8.10e+00')	(None, '3.90e+00')	(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')		('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')												(11, 11)	('3.47e+01', '3.06e+00')	('1.73e+01', '2.40e+00')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '2.76e+00')																																	38.0	8.07	1.46	percent																False
2	5799	Chan1997	timecourses	1897	public	plasma	976	1881	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	6.0	normal renal function	433.0	"[1.25e-04 3.43e-03 5.42e-03 6.05e-03 6.04e-03 5.35e-03 4.61e-03 3.71e-03
 3.24e-03 2.55e-03 2.02e-03 1.01e-03 5.64e-05]"		hr	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '2.40e+01', '4.80e+01']	"[     nan 0.000315 0.00063  0.00042  0.000578 0.000629 0.00063  0.000578
 0.000524 0.000368 0.00021       nan      nan]"	"[  nan 0.225 0.285 0.17  0.234 0.288 0.334 0.381 0.397 0.354 0.255   nan
   nan]"	nan	[{'pk': 34392}, {'pk': 34391}, {'pk': 34390}, {'pk': 34389}, {'pk': 34388}, {'pk': 34387}, {'pk': 34386}, {'pk': 34385}, {'pk': 34384}, {'pk': 34383}, {'pk': 34382}, {'pk': 34381}, {'pk': 34380}, {'pk': 34379}, {'pk': 34378}, {'pk': 34377}]	/media/data/Chan1997_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	975	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	433	Chan1997	normal renal function	homo sapiens	38.0	('F', 'M')	(18, 20)	N	38.0	38.0	75.0	58.0	34.0	11.0		yr				6.0	432.0													Y	38																																																t2dm	38	year		8.10e+00	3.90e+00	(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')		('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')												(6, 6)	(None, '7.20e+00')	('5.20e+01', '5.52e+00')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '6.36e+00')																																	38.0	8.07	1.46	percent																False
3	5845	Chan1997	timecourses	1895	public	plasma	976	1879	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	8.0	mild renal impairment	434.0	"[2.06e-05 3.48e-03 6.21e-03 6.05e-03 6.73e-03 6.46e-03 5.45e-03 4.50e-03
 3.50e-03 2.81e-03 2.28e-03 6.72e-05 1.08e-04]"		hr	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '2.40e+01', '4.80e+01']	"[     nan 0.000472 0.00084  0.00105  0.00131  0.00084  0.000892 0.000682
 0.000735 0.000735 0.00063       nan      nan]"	"[  nan 0.383 0.383 0.491 0.552 0.368 0.463 0.429 0.595 0.74  0.783   nan
   nan]"	nan	[{'pk': 34360}, {'pk': 34359}, {'pk': 34358}, {'pk': 34357}, {'pk': 34356}, {'pk': 34355}, {'pk': 34354}, {'pk': 34353}, {'pk': 34352}, {'pk': 34351}, {'pk': 34350}, {'pk': 34349}, {'pk': 34348}, {'pk': 34347}, {'pk': 34346}, {'pk': 34345}]	/media/data/Chan1997_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	975	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	434	Chan1997	mild renal impairment	homo sapiens	38.0	('F', 'M')	(18, 20)	N	38.0	38.0	75.0	58.0	34.0	11.0		yr				8.0	432.0													Y	38																																																('renal disease (mild)', 't2dm')	(8, 38)	(None, 'year')		(None, '8.10e+00')	(None, '3.90e+00')	(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')		('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')												(8, 8)	('5.20e+01', '5.16e+00')	('3.47e+01', '4.14e+00')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '4.68e+00')																																	38.0	8.07	1.46	percent																False
4	5901	Chan1997	timecourses	1898	public	plasma	976	1882	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	13.0	severe renal impairment	436.0	"[0.       0.00128  0.00778  0.00962  0.0109   0.0127   0.0135   0.014
 0.0139   0.0132   0.0126   0.00411  0.000266]"		hr	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '2.40e+01', '4.80e+01']	"[     nan 0.000577 0.000577 0.00084  0.000998 0.000893 0.00126  0.00163
 0.00179  0.00194  0.00184  0.00121  0.000525]"	"[  nan 1.63  0.267 0.315 0.331 0.254 0.336 0.421 0.462 0.532 0.527 1.06
 7.12 ]"	nan	[{'pk': 34408}, {'pk': 34407}, {'pk': 34406}, {'pk': 34405}, {'pk': 34404}, {'pk': 34403}, {'pk': 34402}, {'pk': 34401}, {'pk': 34400}, {'pk': 34399}, {'pk': 34398}, {'pk': 34397}, {'pk': 34396}, {'pk': 34395}, {'pk': 34394}, {'pk': 34393}]	/media/data/Chan1997_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	975	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	436	Chan1997	severe renal impairment	homo sapiens	38.0	('F', 'M')	(18, 20)	N	38.0	38.0	75.0	58.0	34.0	11.0		yr				13.0	432.0													Y	38																																																('renal disease (end-stage)', 't2dm')	(13, 38)	(None, 'year')		(None, '8.10e+00')	(None, '3.90e+00')	(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')		('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')												(13, 13)	('1.73e+01', '1.20e+00')	(None, '7.80e-01')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '9.60e-01')																																	38.0	8.07	1.46	percent																False
5	6019	Chen1996	timecourses	1925	public	plasma	978	1915	concentration	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	paracetamol sulfate	gram / liter				nan	7.0	Group A,Group B	438.0	"[0.      0.00344 0.00661 0.00955 0.0109  0.0107  0.00963 0.00762 0.00573
 0.00307 0.00238 0.00136]"		hr	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.25e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	"[     nan 0.000436 0.00398  0.000709 0.00191  0.00191  0.00202  0.00218
 0.000382 0.000654 0.000546 0.000436]"	[  nan 0.335 1.59  0.196 0.465 0.472 0.555 0.758 0.176 0.563 0.606 0.847]	nan	[{'pk': 34806}, {'pk': 34805}, {'pk': 34804}, {'pk': 34803}, {'pk': 34802}, {'pk': 34801}, {'pk': 34800}, {'pk': 34799}, {'pk': 34798}, {'pk': 34797}, {'pk': 34796}, {'pk': 34795}, {'pk': 34794}, {'pk': 34793}, {'pk': 34792}, {'pk': 34791}]	/media/data/Chen1996_Fig3.png			nan		dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	977	paracetamol	oral	gram	1.0	single dose	0.0	hr	tablet					group	438	Chen1996	Group A,Group B	homo sapiens	10.0	M	7	Y	10.0	10.0	48.0		23.0			yr				7.0	437.0				10.0	77.0			59.0			kilogram		Y	10			N	10	10.0	3.0	day											10.0	3.0	day																																																																																																														False
6	6119	Critchley2005	timecourses	1997	public	plasma	1006	1989	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	9.0	Caucasians	451.0	"[4.37e-05 6.77e-04 1.99e-03 2.90e-03 3.38e-03 4.10e-03 4.26e-03 4.28e-03
 3.76e-03 3.24e-03 2.65e-03 2.13e-03 1.63e-03 7.44e-04 1.41e-04]"		hr	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01']	"[     nan 0.000109 0.000218 0.000262 0.000305 0.000327 0.000283 0.000349
 0.000327 0.000305 0.000262 0.000196 0.000131      nan      nan]"	"[  nan 0.483 0.329 0.27  0.271 0.239 0.2   0.244 0.261 0.283 0.296 0.276
 0.24    nan   nan]"	nan	[{'pk': 35422}, {'pk': 35421}, {'pk': 35420}, {'pk': 35419}, {'pk': 35418}, {'pk': 35417}, {'pk': 35416}, {'pk': 35415}, {'pk': 35414}, {'pk': 35413}, {'pk': 35412}, {'pk': 35411}, {'pk': 35410}, {'pk': 35409}, {'pk': 35408}, {'pk': 35407}]	/media/data/Critchley2005_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	1005	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	451	Critchley2005	Caucasians	homo sapiens	20.0	('F', 'M')	(3, 6)	Y	20.0	9.0	44.0	29.0	21.0			yr				9.0	450.0				9.0	97.0	68.0		55.0			kilogram		Y	20	caucasian	9																											9.0	1.87	1.75	1.66		meter																																																																																																False
7	6166	Critchley2005	timecourses	1998	public	plasma	1006	1990	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	11.0	Chinese	452.0	"[2.23e-05 1.23e-03 3.04e-03 4.03e-03 4.45e-03 4.86e-03 4.96e-03 4.62e-03
 4.08e-03 3.60e-03 2.98e-03 2.61e-03 2.12e-03 9.27e-04 2.30e-04]"		hr	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01']	"[     nan 0.000219 0.000328 0.000371 0.000415 0.000306 0.000328 0.000284
 0.000328 0.000393 0.000328 0.000263 0.00024       nan      nan]"	"[  nan 0.591 0.357 0.306 0.31  0.209 0.22  0.204 0.267 0.362 0.365 0.333
 0.376   nan   nan]"	nan	[{'pk': 35438}, {'pk': 35437}, {'pk': 35436}, {'pk': 35435}, {'pk': 35434}, {'pk': 35433}, {'pk': 35432}, {'pk': 35431}, {'pk': 35430}, {'pk': 35429}, {'pk': 35428}, {'pk': 35427}, {'pk': 35426}, {'pk': 35425}, {'pk': 35424}, {'pk': 35423}]	/media/data/Critchley2005_Fig1.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	1005	paracetamol	oral	gram / kilogram	0.02	single dose	0.0	hr	solution					group	452	Critchley2005	Chinese	homo sapiens	20.0	('M', 'F')	(5, 6)	Y	20.0	11.0	32.0	24.0	21.0			yr				11.0	450.0				11.0	71.0	57.0		46.0			kilogram		Y	20	chinese	11																											11.0	1.78	1.63	1.54		meter																																																																																																False
8	6256	Chiew2010	timecourses	1958	public	plasma	982	1956	concentration	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	paracetamol sulfate	gram / liter				nan	9.0	all	443.0	"[0.00022 0.00594 0.0099  0.0119  0.0136  0.0169  0.0196  0.0215  0.0198
 0.016   0.0127  0.0087  0.00448 0.00154]"		hr	['0.00e+00', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01', '1.60e+01', '2.40e+01']	"[     nan      nan      nan      nan      nan      nan 0.0022   0.00198
 0.00176  0.00154  0.000881 0.0022        nan      nan]"	"[  nan   nan   nan   nan   nan   nan 0.338 0.276 0.267 0.289 0.208 0.759
   nan   nan]"	nan	[{'pk': 34938}, {'pk': 34937}, {'pk': 34936}, {'pk': 34935}, {'pk': 34934}, {'pk': 34933}, {'pk': 34932}, {'pk': 34931}, {'pk': 34930}, {'pk': 34929}, {'pk': 34928}, {'pk': 34927}, {'pk': 34926}, {'pk': 34925}, {'pk': 34924}, {'pk': 34923}]	/media/data/Chiew2010_Fig3.png			nan		dosing	public	[{'username': 'dimitra'}, {'username': 'janekg'}, {'username': 'mkoenig'}]	981	paracetamol	oral	gram / kilogram	0.079	single dose	0.0	hr	tablet			0.083	0.077	group	443	Chiew2010	all	homo sapiens	9.0	('F', 'M')	(1, 8)	Y	9.0	9.0	46.0	34.0	27.0			yr				9.0	None	N	9		9.0	84.0	73.1		62.0			kilogram		Y	9																					9	7.00e+00	paracetamol	day																																																																																																										False
9	6322	Forrest1979	timecourses	2064	public	plasma	1108	2055	concentration	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	paracetamol sulfate	gram / liter				nan	8.0	control	484.0	[0.00483 0.0038  0.00244 0.00156]		hr	['3.00e+00', '5.00e+00', '7.00e+00', '9.00e+00']	[0.000138 0.000138 0.000155 0.000121]	[0.0808 0.103  0.18   0.219 ]	[0.00039  0.00039  0.000439 0.000341]	[{'pk': 36656}, {'pk': 36655}, {'pk': 36654}, {'pk': 36653}, {'pk': 36652}, {'pk': 36651}, {'pk': 36650}, {'pk': 36649}, {'pk': 36648}, {'pk': 36647}, {'pk': 36646}, {'pk': 36645}, {'pk': 36644}, {'pk': 36643}, {'pk': 36642}, {'pk': 36641}]	/media/data/Forrest1979_Fig1.png			nan		dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	1107	paracetamol	oral	gram	1.5	single dose	0.0	hr	tablet					group	484	Forrest1979	control	homo sapiens	23.0	M	8	Y	8.0	8.0	34.0		21.0			yr				8.0	480.0				8.0	75.0			62.0			kilogram		Y	23																																																																																																																																		False
