	Unnamed: 0	study	output_type	pk	measurement_type	allowed_users	interventions	raw_pk	access	tissue	substance	unit	calculated	individual_pk	individual_name	value	group_pk	group_name	group_count	mean	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	max	min	median	choice	raw_pk_intervention	allowed_users_intervention	measurement_type_intervention	access_intervention	route	substance_intervention	unit_intervention	value_intervention	application	time_intervention	time_unit_intervention	form	choice_intervention	min_intervention	max_intervention	se_intervention	sd_intervention	subject_type	subject_pk	('study', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('age', 'median')	('general', 'group_pk')	('general', 'group_count')	('general', 'parent_pk')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('smoking', 'choice')	('smoking', 'count')	('medication', 'choice')	('medication', 'count')	('medication', 'substance')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('bmi', 'value')	('bmi', 'median')	('bmi', 'se')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('height', 'value')	('height', 'se')	('fasting (duration)', 'count')	('fasting (duration)', 'mean')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('fasting (duration)', 'max')	('disease', 'choice')	('disease', 'count')	('disease', 'max')	('disease', 'mean')	('disease', 'min')	('disease', 'sd')	('disease', 'unit')	('disease', 'value')	('disease', 'se')	('cyp2d6 genotype', 'choice')	('cyp2d6 genotype', 'count')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('body surface area', 'mean')	('body surface area', 'sd')	('body surface area', 'se')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('concentration', 'max')	('concentration', 'mean')	('concentration', 'sd')	('concentration', 'se')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('smoking amount (cigarettes)', 'sd')	('cyp2d6 phenotype', 'choice')	('cyp2d6 phenotype', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('alcohol', 'choice')	('alcohol', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('obesity index', 'value')	('obesity index', 'mean')	('obesity index', 'sd')	('obesity index', 'se')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('clearance', 'mean')	('clearance', 'sd')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('consumption', 'count')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'substance')	('consumption', 'unit')	('consumption', 'value')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('smoking duration', 'count')	('smoking duration', 'mean')	('smoking duration', 'min')	('smoking duration', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('abstinence smoking', 'count')	('abstinence smoking', 'mean')	('abstinence smoking', 'unit')	('abstinence smoking', 'min')	('kidney function test', 'choice')	('kidney function test', 'count')	('alcohol amount', 'count')	('alcohol amount', 'min')	('alcohol amount', 'unit')	('alcohol amount', 'max')	('alcohol amount', 'mean')	('hba1c', 'count')	('hba1c', 'max')	('hba1c', 'mean')	('hba1c', 'min')	('hba1c', 'sd')	('hba1c', 'se')	('hba1c', 'unit')	('fasting', 'choice')	('fasting', 'count')	('body position', 'choice')	('body position', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')	('body fat percentage', 'count')	('body fat percentage', 'mean')	('body fat percentage', 'sd')	('body fat percentage', 'se')	('body fat percentage', 'unit')	('muscle weight', 'count')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'unit')	('cyp2d6 variant', 'choice')	('cyp2d6 variant', 'count')	('lean body mass', 'count')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('circadian status', 'choice')	('circadian status', 'count')	('abstinence oral contraceptives', 'count')	('abstinence oral contraceptives', 'min')	('abstinence oral contraceptives', 'unit')	inferred
0	4297	Chan1997	outputs	55641	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	2446	55633	public	plasma	paracetamol cysteine	liter / kilogram	True				1073.0	severe renal impairment	13.0	18.2	4286.0												2445.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	paracetamol	gram / kilogram	0.02	single dose	0.0	hr	solution						group	1073	Chan1997	severe renal impairment	homo sapiens	38.0	N	38.0	('F', 'M')	(18, 20)	38.0	75.0	58.0	34.0	11.0		yr				13.0	1069.0															Y	38																																						('renal disease (end-stage)', 't2dm')	(13, 38)		(None, '8.10e+00')		(None, '3.90e+00')	(None, 'year')																		(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')			('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')																												(13, 13)	('1.73e+01', '1.20e+00')	(None, '7.80e-01')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '9.60e-01')																																					38.0		8.07		1.46		percent																																				False
1	4358	Chan1997	outputs	55625	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	2446	55617	public	plasma	paracetamol cysteine	liter / kilogram	True				1070.0	normal renal function	6.0	64.2	4285.0												2445.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	paracetamol	gram / kilogram	0.02	single dose	0.0	hr	solution						group	1070	Chan1997	normal renal function	homo sapiens	38.0	N	38.0	('F', 'M')	(18, 20)	38.0	75.0	58.0	34.0	11.0		yr				6.0	1069.0															Y	38																																						t2dm	38		8.10e+00		3.90e+00	year																		(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')			('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')																												(6, 6)	(None, '7.20e+00')	('5.20e+01', '5.52e+00')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '6.36e+00')																																					38.0		8.07		1.46		percent																																				False
2	4442	Chan1997	outputs	55609	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	2446	55601	public	plasma	paracetamol cysteine	liter / kilogram	True				1072.0	moderate renal impairment	11.0	29.2	4284.0												2445.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	paracetamol	gram / kilogram	0.02	single dose	0.0	hr	solution						group	1072	Chan1997	moderate renal impairment	homo sapiens	38.0	N	38.0	('F', 'M')	(18, 20)	38.0	75.0	58.0	34.0	11.0		yr				11.0	1069.0															Y	38																																						('renal disease (moderate)', 't2dm')	(11, 38)		(None, '8.10e+00')		(None, '3.90e+00')	(None, 'year')																		(38, 38)		('glucose', 'fructosamine')	('gram / liter', 'mole / liter')			('1.73e+00', '3.32e-04')	('6.25e-01', '7.10e-05')																												(11, 11)	('3.47e+01', '3.06e+00')	('1.73e+01', '2.40e+00')	('creatinine', 'creatinine')	('milliliter / meter ** 2 / minute', 'liter / hour')		(None, '2.76e+00')																																					38.0		8.07		1.46		percent																																				False
3	5343	Lau1994	outputs	61441	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}]	2690	61433	public	plasma	paracetamol cysteine	liter / kilogram	True				1162.0	all	6.0	57.2	4690.0												2689.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}]	dosing	public	oral	paracetamol	gram / kilogram	0.02	single dose	0.0	hr	solution						group	1162	Lau1994	all	homo sapiens	6.0	Y	6.0	('F', 'M')	(2, 4)	6.0	53.0		23.0			yr				6.0	None																																																																																																																																																																																																						False
4	12917	Critchley2005	outputs	56621	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	2476	56613	public	plasma	paracetamol cysteine	liter / kilogram	True				1088.0	Caucasians	9.0	8.07	4381.0												2475.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	paracetamol	gram / kilogram	0.02	single dose	0.0	hr	solution						group	1088	Critchley2005	Caucasians	homo sapiens	20.0	Y	20.0	('F', 'M')	(3, 6)	9.0	44.0	29.0	21.0			yr				9.0	1087.0	9.0	97.0	68.0		55.0			kilogram							Y	20	caucasian	9																							9.0	1.87	1.75	1.66		meter																																																																																																																																																								False
5	13429	Ganetsky2013	outputs	58131	vd	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	2586	58123	public	plasma	paracetamol cysteine	liter / kilogram	True				1125.0	all	15.0	28.9	4473.0												2585.0	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	dosing	public	oral	paracetamol	gram / kilogram	0.015	single dose	0.0	hr	solution						group	1125	Ganetsky2013	all			Y	15.0	('F', 'M')	(5, 10)	15.0	40.0	28.0	18.0			yr				15.0	None	15.0	128.0	82.0		60.0			kilogram													15		2.00e+00	paracetamol	day													15.0	2.0	day									15.0		0.0417	day																																																								normal	15.0																																																																																									False
6	13432	Ganetsky2013	outputs	58147	vd	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	2584	58139	public	plasma	paracetamol cysteine	liter / kilogram	True				1125.0	all	15.0	26.3	4474.0												2583.0	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	dosing	public	oral	paracetamol	gram / kilogram	0.015	single dose	0.0	hr	tablet						group	1125	Ganetsky2013	all			Y	15.0	('F', 'M')	(5, 10)	15.0	40.0	28.0	18.0			yr				15.0	None	15.0	128.0	82.0		60.0			kilogram													15		2.00e+00	paracetamol	day													15.0	2.0	day									15.0		0.0417	day																																																								normal	15.0																																																																																									False
7	14659	Chen1996	outputs	70621	vd	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	3004	70613	public	plasma	paracetamol cysteine	liter	True				1319.0	Group A,Group B	7.0	1940.0	5385.0												3003.0	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	dosing	public	oral	paracetamol	gram	1.0	single dose	0.0	hr	tablet						group	1319	Chen1996	Group A,Group B	homo sapiens	10.0	Y	10.0	M	7	10.0	48.0		23.0			yr				7.0	1318.0	10.0	77.0			59.0			kilogram		N	10				Y	10										10.0	3.0	day										10.0	3.0	day																																																																																																																																																														False
8	14726	Shinoda2007	outputs	70881	vd	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	3012	70873	public	plasma	paracetamol cysteine	liter	True				1325.0	volunteers	5.0	4270.0	5418.0												3011.0	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	dosing	public	oral	paracetamol	gram	1.0	single dose	0.0	hr	tablet						group	1325	Shinoda2007	volunteers	homo sapiens	10.0	Y	5.0													5.0	1324.0															Y	5	japanese	10																																																																																																																																																																																				False
9	12917	Critchley2005	outputs	56621	vd	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	2476	56613	public	plasma	paracetamol cysteine	liter / kilogram	True				1088.0	Caucasians	9.0	8.07	4381.0												2475.0	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	paracetamol	gram	1.36	single dose	0.0	hr	solution						group	1088	Critchley2005	Caucasians	homo sapiens	20.0	Y	20.0	('F', 'M')	(3, 6)	9.0	44.0	29.0	21.0			yr				9.0	1087.0	9.0	97.0	68.0		55.0			kilogram							Y	20	caucasian	9																							9.0	1.87	1.75	1.66		meter																																																																																																																																																								True
