	study	output_type	pk	access	measurement_type	tissue	allowed_users	substance	interventions	raw_pk	unit	calculated	individual_name	individual_pk	value	group_pk	group_name	group_count	mean	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	max	min	median	choice	raw_pk_intervention	allowed_users_intervention	measurement_type_intervention	access_intervention	route	substance_intervention	unit_intervention	value_intervention	application	time_intervention	time_unit_intervention	form	choice_intervention	min_intervention	max_intervention	se_intervention	sd_intervention	subject_type	subject_pk	('study', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('smoking', 'choice')	('smoking', 'count')	('medication', 'choice')	('medication', 'count')	('medication', 'substance')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('overnight fast', 'choice')	('overnight fast', 'count')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('general', 'group_count')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('bmi', 'value')	('fasting (duration)', 'count')	('fasting (duration)', 'max')	('fasting (duration)', 'mean')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('cyp2d6 genotype', 'choice')	('cyp2d6 genotype', 'count')	('disease', 'choice')	('disease', 'count')	('disease', 'max')	('disease', 'mean')	('disease', 'min')	('disease', 'sd')	('disease', 'se')	('disease', 'unit')	('concentration', 'count')	('concentration', 'max')	('concentration', 'mean')	('concentration', 'min')	('concentration', 'sd')	('concentration', 'se')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('liver function test', 'choice')	('liver function test', 'count')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('height', 'value')	('consumption', 'count')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'substance')	('consumption', 'unit')	('consumption', 'value')	('smoking duration', 'count')	('smoking duration', 'mean')	('smoking duration', 'min')	('smoking duration', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('obesity index', 'value')	('clearance', 'count')	('clearance', 'max')	('clearance', 'mean')	('clearance', 'min')	('clearance', 'sd')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('cyp2d6 phenotype', 'choice')	('cyp2d6 phenotype', 'count')	('alcohol', 'choice')	('alcohol', 'count')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('abstinence smoking', 'count')	('abstinence smoking', 'mean')	('abstinence smoking', 'min')	('abstinence smoking', 'unit')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('hba1c', 'count')	('hba1c', 'max')	('hba1c', 'mean')	('hba1c', 'min')	('hba1c', 'sd')	('hba1c', 'se')	('hba1c', 'unit')	('fasting', 'choice')	('fasting', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('alcohol amount', 'count')	('alcohol amount', 'min')	('alcohol amount', 'unit')	('kidney function test', 'choice')	('kidney function test', 'count')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('body fat percentage', 'count')	('body fat percentage', 'mean')	('body fat percentage', 'sd')	('body fat percentage', 'se')	('body fat percentage', 'unit')	('muscle weight', 'count')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'unit')	('cyp2d6 variant', 'choice')	('cyp2d6 variant', 'count')	('lean body mass', 'count')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	inferred
0	Akinyinka2000	outputs	43705	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1418	43697	hour	False				612.0	control	10.0	9.1				2.85	0.989	9.0							1417	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.3	single dose	0.0	hr	solution						group	612	Akinyinka2000	control	homo sapiens	28.0	Y	10.0			10.0	40.0	32.1		18.0	7.6		yr		N	28	N	10		10.0	82.0	59.8		38.0	12.3		kilogram		10			kola nuts				african	28						10.0			10.0																																									young	10.0																																																																																																							False
1	Akinyinka2000	outputs	43820	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1418	43812	hour	True				612.0	control	10.0	12.5	3721.0												1417	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.3	single dose	0.0	hr	solution						group	612	Akinyinka2000	control	homo sapiens	28.0	Y	10.0			10.0	40.0	32.1		18.0	7.6		yr		N	28	N	10		10.0	82.0	59.8		38.0	12.3		kilogram		10			kola nuts				african	28						10.0			10.0																																									young	10.0																																																																																																							False
2	Akinyinka2000	outputs	43773	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1418	43765	hour	False				614.0	healthy subjects	8.0	10.5				1.56	0.419	4.4							1417	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.3	single dose	0.0	hr	solution						group	614	Akinyinka2000	healthy subjects	homo sapiens	28.0	Y	10.0			10.0	40.0	32.1		18.0	7.6		yr		N	28	N	10		10.0	82.0	59.8		38.0	12.3		kilogram		10			kola nuts				african	28						10.0			8.0																																									young	10.0																																																																																																							False
3	Bonati1982	outputs	46842	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1480	46834	hour	True	A	2126.0	8.17					3941.0												1479	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram / kilogram	0.005	single dose	0.0	hr	solution						individual	2126	Bonati1982	A	homo sapiens	4.0	Y	4.0	M	4	4.0	36.0			26.0			yr							4.0		70.0					kilogram							N							Y	4.0																																																																																																																																																					False
4	Bonati1982	outputs	46858	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1480	46850	hour	True	B	2127.0	7.68					3942.0												1479	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram / kilogram	0.005	single dose	0.0	hr	solution						individual	2127	Bonati1982	B	homo sapiens	4.0	Y	4.0	M	4	4.0	36.0			26.0			yr							4.0		70.0					kilogram							N							Y	4.0																																																																																																																																																					False
5	Culm-Merdek2005	outputs	48164	public	thalf	plasma	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1506	48156	hour	True				670.0	all	7.0	9.26	4000.0												1505	[{'username': 'dimitra'}, {'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.25	single dose	0.0	hr	no info						group	670	Culm-Merdek2005	all	homo sapiens	7.0	Y	7.0	('F', 'M')	(1, 6)	7.0		50.0					yr		N	7				7.0		82.0					kilogram		7		1.00e+00	caffeine	day													7.0																																																																																																																																																	False
6	Harder1988	outputs	49362	public	thalf	plasma	[{'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1554	49361	hour	False				693.0	S1	12.0	3.1				0.404	0.452	1.4							1553	[{'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.23	single dose	0.0	hr	solution						group	693	Harder1988	S1	homo sapiens	12.0	Y	12.0	M	12	12.0	40.0			20.0			yr		N	12	N	12		12.0	100.0	75.0		65.0	8.83		kilogram		12			methylxanthine		N	12											12.0																																																																																																																																																	False
7	Harder1988	outputs	49322	public	thalf	plasma	[{'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1554	49321	hour	False				693.0	S1	12.0	2.7				0.34600000000000003	0.444	1.2							1553	[{'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.23	single dose	0.0	hr	solution						group	693	Harder1988	S1	homo sapiens	12.0	Y	12.0	M	12	12.0	40.0			20.0			yr		N	12	N	12		12.0	100.0	75.0		65.0	8.83		kilogram		12			methylxanthine		N	12											12.0																																																																																																																																																	False
8	Harder1988	outputs	49330	public	thalf	plasma	[{'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1554	49329	hour	False				693.0	S1	12.0	2.6				0.404	0.5379999999999999	1.4							1553	[{'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.23	single dose	0.0	hr	solution						group	693	Harder1988	S1	homo sapiens	12.0	Y	12.0	M	12	12.0	40.0			20.0			yr		N	12	N	12		12.0	100.0	75.0		65.0	8.83		kilogram		12			methylxanthine		N	12											12.0																																																																																																																																																	False
9	Harder1988	outputs	49346	public	thalf	plasma	[{'username': 'mkoenig'}, {'username': 'janekg'}]	paraxanthine	1554	49345	hour	False				693.0	S1	12.0	2.6				0.26	0.34600000000000003	0.9							1553	[{'username': 'mkoenig'}, {'username': 'janekg'}]	dosing	public	oral	caffeine	gram	0.23	single dose	0.0	hr	solution						group	693	Harder1988	S1	homo sapiens	12.0	Y	12.0	M	12	12.0	40.0			20.0			yr		N	12	N	12		12.0	100.0	75.0		65.0	8.83		kilogram		12			methylxanthine		N	12											12.0																																																																																																																																																	False
